pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
59,British Columbia,Colombie-Britannique,2020-02-27 12:00:00 a.m.,7,0,0,7,0,0.14
1,Canada,Canada,2020-02-27 12:00:00 a.m.,13,0,0,13,1,0.03
35,Ontario,Ontario,2020-02-29 12:00:00 a.m.,8,0,0,8,2,0.05
59,British Columbia,Colombie-Britannique,2020-02-29 12:00:00 a.m.,7,0,0,7,0,0.14
1,Canada,Canada,2020-02-29 12:00:00 a.m.,15,0,0,15,2,0.04
35,Ontario,Ontario,2020-03-01 12:00:00 a.m.,15,0,0,15,7,0.1
59,British Columbia,Colombie-Britannique,2020-03-01 12:00:00 a.m.,8,0,0,8,1,0.16
24,Quebec,Québec,2020-03-01 12:00:00 a.m.,1,0,0,1,1,0.01
1,Canada,Canada,2020-03-01 12:00:00 a.m.,24,0,0,24,9,0.06
35,Ontario,Ontario,2020-03-03 12:00:00 a.m.,20,0,0,20,5,0.14
59,British Columbia,Colombie-Britannique,2020-03-03 12:00:00 a.m.,12,0,0,12,4,0.24
24,Quebec,Québec,2020-03-03 12:00:00 a.m.,1,0,0,1,0,0.01
1,Canada,Canada,2020-03-03 12:00:00 a.m.,33,0,0,33,9,0.09
35,Ontario,Ontario,2020-03-05 12:00:00 a.m.,22,0,0,22,2,0.15
59,British Columbia,Colombie-Britannique,2020-03-05 12:00:00 a.m.,21,0,0,21,9,0.41
24,Quebec,Québec,2020-03-05 12:00:00 a.m.,2,0,0,2,1,0.02
1,Canada,Canada,2020-03-05 12:00:00 a.m.,45,0,0,45,12,0.12
35,Ontario,Ontario,2020-03-06 12:00:00 a.m.,28,0,0,28,6,0.19
59,British Columbia,Colombie-Britannique,2020-03-06 12:00:00 a.m.,21,0,0,21,0,0.41
24,Quebec,Québec,2020-03-06 12:00:00 a.m.,2,0,0,2,0,0.02
1,Canada,Canada,2020-03-06 12:00:00 a.m.,51,0,0,51,6,0.14
35,Ontario,Ontario,2020-03-07 12:00:00 a.m.,28,0,0,28,0,0.19
59,British Columbia,Colombie-Britannique,2020-03-07 12:00:00 a.m.,27,0,0,27,6,0.53
24,Quebec,Québec,2020-03-07 12:00:00 a.m.,2,0,0,2,0,0.02
1,Canada,Canada,2020-03-07 12:00:00 a.m.,57,0,0,57,6,0.15
35,Ontario,Ontario,2020-03-08 12:00:00 a.m.,31,0,0,31,3,0.21
59,British Columbia,Colombie-Britannique,2020-03-08 12:00:00 a.m.,27,0,1,27,0,0.53
24,Quebec,Québec,2020-03-08 12:00:00 a.m.,3,0,0,3,1,0.04
48,Alberta,Alberta,2020-03-08 12:00:00 a.m.,1,0,0,1,1,0.02
1,Canada,Canada,2020-03-08 12:00:00 a.m.,62,0,1,62,5,0.16
35,Ontario,Ontario,2020-03-09 12:00:00 a.m.,34,0,0,34,3,0.23
